"Recurso","Acceso","Texto Completo","Tipo de Recurso","Clasificación/Más información"
"On Liberty","Abierto","Completo","Libros Electrónicos","Más información"
"Origins and Destinations of the World’s Migrants, from 1990-2013","Abierto","No Aplica","Estadísticas","Más información"
"Oxford Bibliographies","Cerrado","Referencia","Bibliografía","RE/025.063016  Más información"
"Oxford Handbooks Online","Cerrado","Parcial","Libros Electrónicos","Más información"
"Oxford Handbooks Online: Criminology and criminal justice","Cerrado","Completo","Revistas  , Artículos de Revistas","Más información"
"Oxford Journals","Cerrado","Completo","Revistas","Más información"
"Oxford Network for Social Inequality Research","Abierto","Parcial","Bibliografía","Más información"
"PAIS international","Cerrado","Referencia","Revistas  , Artículos de Revistas","Más información"
"Parametría","Abierto","Completo","Centro de Investigación  , Documentos de Trabajo...","Más información"
"Periódica  Índice de revistas latinoamericanas en ciencias","Abierto","Referencia","Revistas","IND/016.5/P445 Más información"
"Planeando tu vida [disco compacto]","Abierto","Completo","Documentos de Trabajo","DC/1603 Más información"
"Popline","Abierto","Referencia","Resúmenes","Más información"
"Popol Vuh","Abierto","Completo","Libros Electrónicos","Más información"
"ProQuest Dissertations and Theses","Cerrado","Parcial","Biblioteca Digital","Más información"
"Publicaciones del Instituto de Estudios Indígenas de la Universidad Autónoma de Chiapas","Abierto","Parcial","Artículos de Revistas","Más información"
"Qualitative Research Resources on the Internet","Abierto","Parcial","Artículos de Revistas","Más información"
"Qualitative Sociology Review","Abierto","Completo","Artículos de Revistas","Más información"
"Red de bibliotecas virtuales de ciencias sociales de América Latina y el Caribe (CLACSO)","Abierto","Completo","Biblioteca Digital","Más información"
"Red Latinoamericana de Historia Oral","Abierto","No Aplica","Videos  , Documentos de Trabajo  , Artículos de ...","Más información"
"Redalyc  Red de revistas científicas de América Latina, el Caribe, España y Portugal","Abierto","Parcial","Revistas","Más información"
"Reforma","Abierto","Parcial","Periódicos","Más información"
"Reproductive Health Matters.  The abortion papers [disco compacto]","Cerrado","Completo","Documentos de Trabajo","DC/2018 Más información"
"Research Centre (IDRC)","Cerrado","Falta determinar","Financiamiento & Becas","Más información"
"Revista COFACTOR","Abierto","Completo","Revistas","Más información"
"Revista de Antropología del Cuerpo","Abierto","Completo","Artículos de Revistas","Más información"
"Revista de Estudios de Antropología Sexual","Abierto","Completo","Revistas","Más información"
"Revista Mexicana de Investigación Educativa (RMIE)","Abierto","Completo","Revistas","Más información"
"Revistas de El Colegio de México","Cerrado","Completo","Revistas","Más información"
"Rituales de resistencia. Subculturas juveniles en la Gran Bretaña de la posquerra","Abierto","Completo","Libros Electrónicos","Más información"
"Roper Center","Cerrado","Parcial","Recursos Archivísticos  , Estadísticas","Más información"
"SAGE Journals","Cerrado","Completo","Revistas","Más información"
"Sage Research Methods Online (SRMO)","Cerrado","Parcial","Documentos de Trabajo  , Artículos de Revistas","Más información"
"ScienceDirect","Cerrado","Parcial","Revistas","Más información"
"Scopus","Cerrado","Referencia","Bibliografía","Más información"
"SERIUNAM","Abierto","Referencia","Revistas","Más información"
"Servicio de prensa mexicana","Abierto","Referencia","Revistas  , Periódicos","Más información"
"Sistema de archivo de documentos de las Naciones Unidas","Abierto","Completo","Publicaciones Oficiales","Más información"
"Social Sciences Full Text (H.W. Wilson)","Cerrado","Parcial","Revistas","Más información"
"Social services abstracts","Cerrado","Parcial","Revistas","RE/016.361 Más información"
"Sociológica","Abierto","Completo","Artículos de Revistas","Más información"
"Sociological Abstracts","Cerrado","Referencia","Revistas","IND/301.05 Más información"
"Sociological Research Online","Abierto","Parcial","Artículos de Revistas","Más información"
"Sociologie du travail","Cerrado","Parcial","Revistas","331.8/S678 Más información"
"Sociology  a SAGE full-text collection","Cerrado","Completo","Revistas","Más información"
"Sociology in Switzerland","Cerrado","Parcial","Revistas  , Documentos de Trabajo","Más información"
"SourceOECD","Abierto","Parcial","Revistas  , Libros Electrónicos","Más información"
"Springer eBooks (Recurso contratado por CONRICyT)","Cerrado","Completo","Libros Electrónicos","Más información"
"Springer Link","Cerrado","Completo","Libros Electrónicos  , Revistas","Más información"
"Sydney Institute of Criminology","Abierto","Referencia","Bibliografía","Más información"
"Tablas de contenido y revistas en texto completo","Cerrado","Parcial","Revistas","Más información"
"Taylor & Francis (Recurso contratado por CONRICyT)","Cerrado","Completo","Revistas","Más información"
"Tesauro del UNBIS","Abierto","Completo","Corpus","Más información"
"Tesis COLMEX","Abierto","Completo","Biblioteca Digital","Más información"
"Tesis Digitales Universidad Iberoamericana","Abierto","Completo","Biblioteca Digital  , Catálogos de Bibliotecas","Más información"
"Testimonios de mujeres indígenas en contextos migratorios: liderazgos e identidades colectivas y de género.","Abierto","Completo","Libros Electrónicos","Más información"
"The American journal of sociology","Cerrado","Parcial","Revistas","305/A5124 Más información"
"The Andrew W. Mellon Foundation","Abierto","No Aplica","Financiamiento & Becas","Más información"
"The Brady Education Foundation","Abierto","No Aplica","Financiamiento & Becas","Más información"
"The Online Books Page","Cerrado","Parcial","Biblioteca Digital","Más información"
"Trabajo decente e igualdad de género: políticas para mejorar el acceso y calidad del empleo de las mujeres en América Latina y el caribe","Abierto","Completo","Documentos de Trabajo","Más información"
"Transparencia mexicana","Abierto","Completo","Documentos de Trabajo  , Fuentes Primarias  , Pub...","Más información"
"U.S. Census Bureau","Abierto","Parcial","Publicaciones Oficiales  , Estadísticas","Más información"
"UNdata","Abierto","Completo","Información Geográfica  , Estadísticas","Más información"
"Unión Europea","Abierto","Parcial","Publicaciones Oficiales  , Fuentes Primarias  , R...","Más información"
"Universal library","Abierto","Completo","Biblioteca Digital","Más información"
"University of Pittsburgh Press Digital Editions","Abierto","Completo","Biblioteca Digital","Más información"
"University of Wisconsin Digital Collections","Abierto","Completo","Biblioteca Digital  , Fotografías","Más información"
"Vida sin violencia","Abierto","Parcial","Publicaciones Oficiales","Más información"
"ViewsWire","Abierto","Completo","Estadísticas  , Artículos de Revistas","RE/016.33 Más información"
"Washington Post, The","Abierto","Parcial","Periódicos","Más información"
"Web of science","Cerrado","Referencia","Revistas  , Reseñas","Más información"
"Weberian Sociology of Religion","Abierto","Parcial","Libros Electrónicos  , Artículos de Revistas","Más información"
"Wiley InterScience","Cerrado","Completo","Revistas  , Reseñas","Más información"
"Wiley Online Library","Cerrado","Completo","Reseñas","Más información"
"William T Grant Foundation","Cerrado","Parcial","Financiamiento & Becas  , Software  , Reportes T�...","Más información"
"Worldcat","Cerrado","Parcial","Catálogos de Bibliotecas","Más información"
"Worldwide political science abstracts","Cerrado","Referencia","Revistas","RE/016.32 Más información"
