Título,Recurso físicamente en la Biblioteca,Recurso desarrollado por el COLMEX,Acceso(URL),Tipo de Información que contiene,Tipo de Recurso,Tipo de Acceso,Título alterno,Autor/Productor,Fecha de última actualización,Idioma,Recurso de interés para,Área Temática COLMEX,Área Geográfica seleccionadas,Temas,Descripción/Notas,Contiene recursos en texto completo,Fecha de consulta,Fecha de captura,Clasificación Dewey en BDCV,Recurso en Guías por Tema y Área,Guías donde se destaca,Agregado por,Archivo(URL),Cobertura,CID
"American diplomacy","no","N/A","http://www.unc.edu/depts/diplomat/","N/A","Publicación periódica","Abierto","N/A","Otros","20140901","Inglés","CEI","Relaciones Internacionales","N/A","Relaciones internacionales ; Estados Unidos ; Diplomacia","Revista de análisis sobre política exterior de los EE.UU., incluye temas sobre derechos humanos, política militar, etc.. Publicada por el Triangle Institute for Security Studies. Editor Henry E. Mattox . Irregular. Presenta el texto completo y resúmenes de los artículos publicados desde el primer número de 1996 hasta la fecha.","N/A","2014-10-21","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"American economic journal : economic policy","no","N/A","http://ejournals.ebsco.com/direct.asp?JournalID=717706","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","2014-02-00","N/A","N/A","N/A","N/A","Economía ; Política económica","Revista de la American Economic Association, que en la especialidad de Política Económica publica artículos arbitrados por una de las revistas de mayor factor de impacto en el mundo de la economía. Se encontrarán artículos sobre política económica, política internacional enfocada en economía, comercio internacional y políticas públicas.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"American economic journal : macroeconomics","no","N/A","http://ejournals.ebsco.com/direct.asp?JournalID=717683","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","2014-01-00","N/A","N/A","N/A","N/A","Macroeconomía","Revista publicada por la American Economic Association centra en los estudios de las fluctuaciones y el crecimiento agregado, y el papel de la política en ese contexto. Estos estudios a menudo se relacionan con la investigación en otros campos, como la teoría monetaria, la organización industrial, finanzas, economía laboral, economía política, las finanzas públicas, economía internacional y economía del desarrollo.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"American economic journal: applied economics","si","N/A","http://ejournals.ebsco.com/direct.asp?JournalID=717684","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","2013-00-00","N/A","N/A","N/A","N/A","Economía; Economía aplicada","Revista de la American Economic Association que publica artículos que cubren una gama de temas en economía aplicada, con un enfoque en temas microeconómicos empíricos. En particular, promueve trabajos sobre economía laboral, la microeconomía de desarrollo, la salud, la educación, la demografía, finanzas corporativas empírica, los estudios empíricos sobre el comercio y la economía del comportamiento empíricos.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"American journal of political science","ambos","N/A","http://ejournals.ebsco.com/Journal2.asp?JournalID=109677","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","2012-00-00","N/A","N/A","N/A","N/A","Ciencia política ; Política ; Gobierno","N/A","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"American Society for Public Administration","no","N/A","http://www.aspanet.org/public/","N/A","Sitio Web","Parcialmente Abierto","N/A","Otros","N/A","Inglés","CEI","Administración Pública","N/A","Administración pública ; Estados Unidos","Desde 1939, ha sido la sociedad más respetada a nivel nacional en la arena de servicio público. Está conformada por abogados en el gobierno y profesionales voluntarios. El sitio web presenta novedades bibliográficas en los campos de la administración pública y revistas especializadas, así como reportes sobre gobernanza en Estados Unidos.","N/A","2014-10-21","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"American Society for Reproductive Medicine (Publicaciones)","no","N/A","https://www.asrm.org/ASRM_Publications_Overview/","N/A","Sitio Web","Abierto","N/A","Otros","2016","Inglés","CEDUA","Demografía","N/A","Fertilidad ; Reproducción ; Infertilidad ; Mujeres--Salud e higiene","Incluye documentos oficiales, como: Boletines, Informes del Comité de Ética ; Guías de práctica ; Documentos legales ; Declaraciones conjuntas; Hojas informativas y folletos. Brinda acceso libre a una selección de artículos publicados en la revista |Fertility and Sterility|.","N/A","2016-02-16","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"American Sociological Review","ambos","N/A","http://www.jstor.org/action/showPublication?journalCode=amersocirevi","N/A","N/A","Sólo comunidad Colmex","N/A","JSTOR","2013-08-00","N/A","N/A","N/A","N/A","Sociología","La revista oficial insignia de la Asociación Americana de Sociología (ASA), American Sociological Review (ASR) publica trabajos de interés para la disciplina en general, los nuevos desarrollos teóricos, resultados de investigación que permitan avanzar en la comprensión de los procesos sociales fundamentales, así como importantes innovaciones metodológicas. Todas las áreas de la sociología son bienvenidos. El énfasis está en la calidad excepcional y el interés general.
Impreso 1936-2006. En JStor 1936-2006 y en Electronic Journal Service 2004 a la fecha.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"American Theological Library Association (ATLA) Historical Monographs Collection: Series 1","no","N/A","http://eds.b.ebscohost.com/ehost/search/basic?sid=172af944-728c-4900-afb7-04fa45b88571%40sessionmgr111&vid=0&hid=116","N/A","Publicación periódica","Sólo comunidad Colmex","N/A","Otros","2014-00-00","Inglés","CES","Sociología  , Religión","N/A","Religión","Recurso que contiene mas de cinco millones de registros históricos desde el siglo 13 con información sobre el Parlamento de Religiones del Mundo. Con enfoques hacia lo social, político, económico permite acceder a documentos de archivo y textos completos sobre religión.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"AMIDEAST: America-Medeast Educational and Training Services","no","N/A","http://www.amideast.org/","N/A","Sitio Web","Abierto","N/A","Otros","2015-00-00","Inglés","CEAA","Sociología","N/A","Oriente (Medio Oriente) ; Programas educativos ; Becas","|Organización americana, independiente y sin fines de lucro. Dedicada a las actividades internaconales de educación, formación y desarrollo en el Medio Oriente y África del Norte.| Promueve programas educativos en Estados Unidos para estudiantes del Medio Oriente.","N/A","2015-11-04","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Amnistía Internacional","no","N/A","http://amnistia.org.mx/","N/A","Sitio Web","Abierto","N/A","Otros","2014-10-17","Español","CEI","Relaciones Internacionales","N/A","Derechos humanos ; México","Compila información sobre: 1) agencias de Amnistia Internacional; 2) recursos sobre derechos humanos; 3)informes; calendario y cobertura en medios. Incluye información sobre las publicaciones y actividades de Amnistia Internacional. Texto disponible en inglés y español.","N/A","2014-10-21","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Anales cervantinos","ambos","N/A","http://analescervantinos.revistas.csic.es/index.php/analescervantinos/issue/archive","N/A","Publicación periódica","Parcialmente Abierto","N/A","Consejo Superior de Investigaciones Científicas","N/A","Español","CELL","Literatura","N/A","Cervantes Saavedra, Miguel de - 1547-1616 ; Revistas electrónicas","Disponible en formato impreso: 1951-2013 (con algunos faltantes)","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Analyses of Social Issues and Public Policy","ambos","N/A","http://search.ebscohost.com/login.aspx?direct=true&db=a9h&jid=N7Y〈=es&site=ehost-live","N/A","N/A","Sólo comunidad Colmex","N/A","Academic Search Complete","2013-00-00","N/A","N/A","N/A","N/A","Psicología social ; Políticas públicas","Analyses of Social Issues and Public Policy (ASAP) is a journal of the Society for the Psychological Study of Social Issues (SPSSI). The journal is an outlet for psychological and social science scholarship with implications for social action and policy. Under the guidance of an international editorial board, ASAP serves a global audience that includes policy makers and advocates as well as social scientists, students, and the public at large. Articles are published electronically as soon as they are accepted for publication, then in print at the end of every calendar year.
Impreso 2002-2009. En
Academic Search Complete (2001 a la fecha).","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Annales histoire, sciences sociales","si","N/A","http://dialnet.unirioja.es/servlet/revista?codigo=89","N/A","N/A","Abierto","N/A","Otros","2013-00-00","N/A","N/A","N/A","N/A","Sociología ; Historia","Fondée en 1929 par March Bloch et Lucien Febvre, les Annales illustrent, au-delà de ce prestigieux héritage, la recherche historique dans ce qu’elle a de plus innovant. Nouveaux domaines de la recherche et histoire comparée, ouverture sur les aires culturelles et réflexion épistémologique, signatures prestigieuses et jeunes historiens définissent l’esprit des Annales, revue d’histoire par excellence, dont le rayonnement est international. Au-delà de la discipline historique, les Annales jouent un rôle important dans le champ des sciences sociales et sont le lieu privilégié d'un dialogue raisonné entre les différentes sciences de l'homme. Une large place est également faite à l’examen de la production scientifique récente sous forme de comptes rendus (200 par an) et d’analyses approfondies des ouvrages les plus marquants. 
Impreso 1994-2011","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Annales. Histoire, Sciences Sociales","ambos","N/A","http://www.persee.fr/web/revues/home/prescript/revue/ahess","N/A","N/A","Abierto","N/A","Otros","2013-00-00","N/A","N/A","N/A","N/A","Historia económica ; Historia social ; Revistas","Disponible en formato impreso: 1994-2013","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Annals of regional science","ambos","N/A","http://link.springer.com/journal/volumesAndIssues/168","N/A","N/A","Sólo comunidad Colmex","N/A","Springer","2013-12-00","N/A","N/A","N/A","N/A","Migración ; Ciudades y pueblos ; Economía urbana ; Geografía humana ; Planificación regional ; Transporte","Los Anales de Ciencia Regional presenta investigación de alta calidad en el campo interdisciplinario de los estudios regionales y urbanos. La revista publica artículos que hacen un nuevo o sustancial contribución al cuerpo de conocimiento en el que la dimensión espacial juega un papel fundamental, incluyendo la economía regional, la gestión de recursos, la teoría de localización, planificación urbana y regional, el transporte y la comunicación, la geografía humana, la distribución de la población y la calidad ambiental. Los Anales de Ciencia Regional es el diario oficial de la Ciencia de la Región Occidental","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Annual Review  of Sociology","si","N/A","http://www.annualreviews.org/loi/soc","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","2013-00-00","N/A","N/A","N/A","N/A","Sociología","The Annual Review of Sociology, in publication since 1975, covers the significant developments in the field of Sociology. Topics covered in the journal include major theoretical and methodological developments as well as current research in the major subfields. 
Impreso 1975-1995. Annual Review of Sociology en línea de 1970 a la fecha y en JStor de 1975 a 2005.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Annual Review of Anthropology","no","N/A","http://www.annualreviews.org/loi/anthro","N/A","Base de Datos","Sólo comunidad Colmex","N/A","Otros","2014-00-00","Inglés","CEH  , CES","Historia  , Religión  , Sociología","N/A","Antropología ; Bases de datos","Annual reviews ofrece artículo de revisión de literatura seleccionada por expertos en antropología y selecciona los mejores documentos en el área.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Annual review of economics","no","N/A","http://www.annualreviews.org/loi/economics","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Economía ; Revistas","N/A","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Annual Review of Environment and Resources","no","N/A","http://search.ebscohost.com/login.aspx?direct=true&db=a9h&jid=V4A〈=es&site=ehost-live","N/A","N/A","Sólo comunidad Colmex","N/A","Annual Reviews Inc.","2013-00-00","N/A","N/A","N/A","N/A","Medio ambiente ; Ciencias medioambientales","Publicación que desde 1976, ofrece opiniones autorizadas de los temas importantes dentro de las ciencias ambientales e ingeniería, incluyendo la ecología y la ciencia de la conservación, el agua y los recursos energéticos, la atmósfera, los océanos, el cambio climático, la agricultura y los recursos vivos, y humano dimensiones del uso de recursos y el cambio global.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Annual Review of Law and Social Sciences","no","N/A","http://www.annualreviews.org/loi/lawsocsci","N/A","Base de Datos","Sólo comunidad Colmex","N/A","Otros","2014-00-00","Inglés","CEE  , CEI","Administración Pública  , Ciencia Política  , Economía   , Historia  , Relaciones Internacionales","N/A","Derecho internacional ; Ciencias sociales ; Bases de datos","Annual review compila artículos de revisión  en el área de derecho y ciencias sociales.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Annual review of political science","ambos","N/A","http://www.annualreviews.org/loi/polisci","N/A","N/A","Sólo comunidad Colmex","N/A","Annual Reviews Inc.","2014-00-00","N/A","N/A","N/A","N/A","Ciencia política ; Administración pública","Political Science
Featured Reviews
News

ABOUT THIS JOURNAL

The Annual Review of Political Science, in publication since 1998, covers significant developments in the field of Political Science including political theory and philosophy, international relations, political economy, political behavior, American and comparative politics, public administration and policy, and methodology.

Impreso 1998-2010. En Electronic Journal Service (2008-a la fecha).","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
