Título,Recurso físicamente en la Biblioteca,Recurso desarrollado por el COLMEX,Acceso(URL),Tipo de Información que contiene,Tipo de Recurso,Tipo de Acceso,Título alterno,Autor/Productor,Fecha de última actualización,Idioma,Recurso de interés para,Área Temática COLMEX,Área Geográfica seleccionadas,Temas,Descripción/Notas,Contiene recursos en texto completo,Fecha de consulta,Fecha de captura,Clasificación Dewey en BDCV,Recurso en Guías por Tema y Área,Guías donde se destaca,Agregado por,Archivo(URL),Cobertura,CID
"The Victorian Women Writers Project","no","N/A","http://www.indiana.edu/~letrs/vwwp/","N/A","Libro electrónico","Abierto","N/A","Otros","2014-00-00","Inglés","CELL","Literatura","N/A","Gran Bretaña  ;  Siglo XIX ; Autoras","|Proyecto que inicia en 1995| y reúne la obra de mujeres escritoras poco conocidas de la época Victoriana: Lady Wilde, Marie Corelli, Amy Levy, Harriet Martineau, entre otras. El sitio da acceso gratuito al texto completo de las obras. Sitio desarrollado por la Indiana University.","N/A","2014-11-04","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The William and Flora Hewlett Foundation","no","N/A","http://www.hewlett.org/","N/A","Sitio Web","Abierto","N/A","Otros","2014-00-00","Inglés","CES","Economía   , Medio Ambiente","N/A","Pobreza ;  Medio ambiente","|The Foundation's programs have ambitious goals that include: helping to reduce global poverty, limiting the risk of climate change, improving education for students in California and elsewhere, improving reproductive health and rights worldwide, supporting vibrant performing arts in our community, advancing the field of philanthropy, and supporting disadvantaged communities in the San Francisco Bay Area|","N/A","2014-11-10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The William and Mary Quarterly","no","N/A","http://www.jstor.org/action/showPublication?journalCode=willmaryquar","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Estados Unidos ; Historia ; Siglo XIX ; Revistas","N/A","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The World Bank economic review","no","N/A","http://www.jstor.org/action/showPublication?journalCode=worlbankeconrevi","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Economía ; Revistas","1986-2004","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The world economy","ambos","N/A","http://www3.interscience.wiley.com/journal/117965403/home","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Relaciones económicas internacionales ; Revistas","Disponible en formato impreso: 1977-2006 (con algunos faltantes)","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The World Wide Web Virtual Library. History Central Catalogue","no","N/A","http://vlib.iue.it/history/index.html","N/A","Sitio Web","Abierto","N/A","Otros","N/A","Inglés","CEH","Historia","N/A","Historia ; Recursos en Internet","Guía de recursos de información ordenados temáticamente por: 1. Continentes, 2. Eras o épocas históricas, 3. Temáticas específicas, p.e. historia de la medicina, historia militar, historia de las mujeres, etc. 4. Métodos y materiales para historiadores.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The WWW Virtual Library : History","no","N/A","http://vlib.org/History.en","N/A","Sitio Web","Abierto","N/A","WWW Virtual Library","N/A","Inglés","CEH","Historia","N/A","Historia ; Recursos en Internet","Ofrece una guía temática de recursos electrónicos que incluye entre otros: cartografía, ciencias auxiliares de la historia, historia económica, del derecho, de las mujeres, del trabajo, etc.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Yale Journal of Criticism","ambos","N/A","http://muse.jhu.edu/journals/yale_journal_of_criticism/","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Literatura ; Revistas","Disponible en formato impreso: 1987-1988","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Year's Work in Modern Language Studies","ambos","N/A","http://ejournals.ebsco.com/journal2.asp?journalid=723173","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Lenguas modernas ; Filología ; Revistas","Disponible en formato impreso: 1950-2011","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Theoretical economics","no","N/A","http://econtheory.org/","N/A","N/A","Abierto","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Economía ; Revistas","N/A","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Third World Quarterly","ambos","N/A","http://ejournals.ebsco.com/Journal2.asp?JournalID=100409","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Países subdesarrollados ; Economía ; Política ; Revistas","Disponible en formato impreso: 1979-2011 (con algunos faltantes)","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Tinker Foundation Incorporated","no","N/A","http://www.fdncenter.org/grantmaker/tinker","N/A","Base de Datos  , Sitio Web","Abierto","N/A","Otros","N/A","Inglés","CEI","Relaciones Internacionales  , Ciencia Política","N/A","Democracia ; Educación ; Desarrollo sostenible ; Ciencia Política","|Today the Foundation’s Institutional Grants are focused on democratic governance, education, sustainable development, U.S. policy, and Antarctica|","N/A","2014-11-13","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Tintero económico diario","no","N/A","http://wwwtinteroeconomico.blogspot.com/","N/A","Sitio Web  , Blog","Abierto","N/A","Otros","2014-00-00","Español","CEE","Economía","N/A","Economía ; América Latina ; Blogs","Blog de Alejandro Villagómez, profesor-investigador del CIDE en el cual comenta temas de novedad en el ámbito económico nacional e internacional.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Toung Pao","ambos","N/A","http://ejournals.ebsco.com/Journal2.asp?JournalID=106008","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Asia ; Asia Oriental ; Estudio y enseñanza ; Revistas","Disponible en formato impreso: 1944-2010 (con algunos faltantes)","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Trabajo decente e igualdad de género: políticas para mejorar el acceso y calidad del empleo de las mujeres en América Latina y el caribe","no","N/A","http://www.ilo.org/wcmsp5/groups/public/---americas/---ro-lima/---sro-santiago/documents/publication/wcms_233161.pdf","N/A","Libro electrónico","Abierto","N/A","Otros","N/A","Español","CES  , PIEM","Estudios de Género  , Sociología","N/A","Trabajo asalariado -- equidad de género","Documento de trabajo dirigido a apoyar el diseño y la puesta en marcha de políticas de empleo para la igualdad de género, que contribuyan hacia los esfuerzos colectivos que se realizan en pos del desarrollo sostenible y equitativo, con trabajo decente y calidad de vida en los países de América Latina y el Caribe.","N/A","2015-12-15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Trading economics","no","N/A","http://www.tradingeconomics.com/","N/A","Sitio Web","Abierto","N/A","Otros","2015-00-00","Inglés","CEE","Economía","N/A","Economía ; Indicadores financieros ; Indicadores económicos ; Estadísticas financieras","Recurso que presenta estadísticas e indicadores económicos en tiempo real  sobre 196 países. Presenta datos históricos de algunos de los indicadores, tipo de cambio de monedas, cotizaciones de bolsa entre otros. Es posible modificar el idioma de la plataforma, elaborar búsquedas por país y mercados.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Traduire","si","N/A","N/A","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Traducción ; Revistas","Disponible en formato impreso: 1977-2013 (con algunos faltantes)","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Translation Review","ambos","N/A","http://www.tandfonline.com/toc/utrv20/current","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Traducción ; Revistas","Disponible en formato impreso: 1983-2013 (con algunos faltantes)","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Transparencia mexicana","no","N/A","http://www.tm.org.mx/","N/A","Sitio Web","Abierto","N/A","Otros","2015-00-00","Español  , Inglés","CES  , CEI","Sociología  , Ciencia Política","N/A","Corrupción; Corrupción administrativa -- México; México -- Política y gobierno; Corrupción política -- México;","|A principios de 1999, un grupo de mexicanos preocupados por los problemas de corrupción globales, particularmente, los de nuestro país, decidimos crear Transparencia Mexicana. Se trata de una organización no gubernamental que enfrenta el problema de la corrupción desde una perspectiva integral, a través de políticas públicas y actitudes privadas que van más allá de la consigna política, para generar cambios concretos en el marco institucional y en la cultura de la legalidad en México.|","N/A","2015-10-06","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Transparency International. Anti-corruption glossary","no","N/A","https://www.transparency.org/glossary/","N/A","Obra de referencia","Abierto","N/A","Otros","2015","Inglés","CEI","Ciencia Política","N/A","N/A","Brinda la definición de términos y remite a información adicional de obras de la organización.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Transparency International. Publications","no","N/A","https://www.transparency.org/whatwedo/publications/","N/A","Sitio Web","Abierto","N/A","Otros","2015","Español  , Inglés","CEI","Ciencia Política","N/A","N/A","|Transparency International es un movimiento global que comparte una visión: un mundo donde el gobierno, las empresas, la sociedad civil y la vida cotidiana de las personas se desarrollen sin corrupción. A través de más de 100 capítulos en distintos países y una secretaría internacional en Berlín, lideramos la lucha contra la corrupción en todo el mundo para convertir esta visión en realidad.| En este apartado se pueden descargar diversos documentos.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
