"Recurso","Acceso","Texto Completo","Tipo de Recurso","Clasificación/Más información"
"Journal of economics and political economy","Abierto","Completo","Artículos de Revistas","Más información"
"Journal of financial economics","Cerrado","Completo","Revistas","332.05/J862 Más información"
"Journal of financial markets","Cerrado","Completo","Revistas","332.65/J86 Más información"
"Journal of health economics","Cerrado","Completo","Revistas","Más información"
"Journal of international economics","Cerrado","Completo","Revistas","338.91/J86 Más información"
"Journal of labor economics","Cerrado","Completo","Revistas","331.05/J864 Más información"
"Journal of macroeconomics","Cerrado","Completo","Revistas","330.105 J865 Más información"
"Journal of mathematical economics","Cerrado","Falta determinar","Revistas","330.182/J865 Más información"
"Journal of monetary economics","Cerrado","Completo","Revistas","332.405/J86 Más información"
"Journal of money credit and banking","Cerrado","Completo","Revistas","332.4/J86 Más información"
"Journal of policy modeling","Cerrado","Completo","Revistas","300.151/J86 Más información"
"Journal of political economy","Cerrado","Completo","Revistas","338.905/J86 Más información"
"Journal of public economics","Cerrado","Completo","Revistas","336.005/J86 Más información"
"Journal of rural studies","Cerrado","Completo","Revistas","301.3505/J86 Más información"
"Journal of the european economic association","Cerrado","Completo","Revistas","330.05/J864 Más información"
"LABORSTA","Abierto","Parcial","Estadísticas","RE/331.021 Más información"
"Labour economics","Cerrado","Completo","Revistas","Más información"
"Latin American Economic Outlook 2013.SME Policies for Structural Change","Cerrado","Completo","Libros Electrónicos","Más información"
"Latindex  Sistema Regional de Información en Línea para Revistas Científicas de América Latina, el Caribe, España y Portugal","Abierto","Parcial","Revistas","Más información"
"Latinobarómetro 1995-2013","Abierto","Completo","Estadísticas","Más información"
"Le Monde","Abierto","Parcial","Periódicos","Más información"
"Lecturas de economía","Abierto","Completo","Artículos de Revistas  , Revistas","Más información"
"Lectures of the Industrial Revolution in England","Abierto","Completo","Libros Electrónicos","Más información"
"Library of Congress","Abierto","Parcial","Audio  , Bibliografía  , Biblioteca Digital  , D...","Más información"
